SearchQuery,Title,Abstract,Authors,Year,Citations,Venue,URL,recency_score,citations_score,combined_text
classification,The 2021 WHO Classification of Tumors of the Central Nervous System: a summary.,"The fifth edition of the WHO Classification of Tumors of the Central Nervous System (CNS), published in 2021, is the sixth version of the international standard for the classification of brain and spinal cord tumors. Building on the 2016 updated fourth edition and the work of the Consortium to Inform Molecular and Practical Approaches to CNS Tumor Taxonomy, the 2021 fifth edition introduces major changes that advance the role of molecular diagnostics in CNS tumor classification. At the same time, it remains wedded to other established approaches to tumor diagnosis such as histology and immunohistochemistry. In doing so, the fifth edition establishes some different approaches to both CNS tumor nomenclature and grading and it emphasizes the importance of integrated diagnoses and layered reports. New tumor types and subtypes are introduced, some based on novel diagnostic technologies such as DNA methylome profiling. The present review summarizes the major general changes in the 2021 fifth edition classification and the specific changes in each taxonomic category. It is hoped that this summary provides an overview to facilitate more in-depth exploration of the entire fifth edition of the WHO Classification of Tumors of the Central Nervous System.","D. Louis, A. Perry, P. Wesseling, D. Brat, I. Cree, D. Figarella-Branger, C. Hawkins, H. Ng, S. Pfister, G. Reifenberger, R. Soffietti, A. von Deimling, D. Ellison",2021.0,7591,Neuro-Oncology,https://www.semanticscholar.org/paper/77178c031c6fccafebef0debf3af392966127d78,0.9759999999999991,0.06168535673655128,classification the 2021 who classification of tumors of the central nervous system a summary the fifth edition of the who classification of tumors of the central nervous system cns published in 2021 is the sixth version of the international standard for the classification of brain and spinal cord tumors building on the 2016 updated fourth edition and the work of the consortium to inform molecular and practical approaches to cns tumor taxonomy the 2021 fifth edition introduces major changes that advance the role of molecular diagnostics in cns tumor classification at the same time it remains wedded to other established approaches to tumor diagnosis such as histology and immunohistochemistry in doing so the fifth edition establishes some different approaches to both cns tumor nomenclature and grading and it emphasizes the importance of integrated diagnoses and layered reports new tumor types and subtypes are introduced some based on novel diagnostic technologies such as dna methylome profiling the present review summarizes the major general changes in the 2021 fifth edition classification and the specific changes in each taxonomic category it is hoped that this summary provides an overview to facilitate more indepth exploration of the entire fifth edition of the who classification of tumors of the central nervous system d louis a perry p wesseling d brat i cree d figarellabranger c hawkins h ng s pfister g reifenberger r soffietti a von deimling d ellison
classification,The advantages of the Matthews correlation coefficient (MCC) over F1 score and accuracy in binary classification evaluation,"To evaluate binary classifications and their confusion matrices, scientific researchers can employ several statistical rates, accordingly to the goal of the experiment they are investigating. Despite being a crucial issue in machine learning, no widespread consensus has been reached on a unified elective chosen measure yet. Accuracy and F1 score computed on confusion matrices have been (and still are) among the most popular adopted metrics in binary classification tasks. However, these statistical measures can dangerously show overoptimistic inflated results, especially on imbalanced datasets. The Matthews correlation coefficient (MCC), instead, is a more reliable statistical rate which produces a high score only if the prediction obtained good results in all of the four confusion matrix categories (true positives, false negatives, true negatives, and false positives), proportionally both to the size of positive elements and the size of negative elements in the dataset. In this article, we show how MCC produces a more informative and truthful score in evaluating binary classifications than accuracy and F1 score, by first explaining the mathematical properties, and then the asset of MCC in six synthetic use cases and in a real genomics scenario. We believe that the Matthews correlation coefficient should be preferred to accuracy and F1 score in evaluating binary classification tasks by all scientific communities.","D. Chicco, Giuseppe Jurman",2020.0,4300,BMC Genomics,https://www.semanticscholar.org/paper/44858b662822d291a5e1e9e3501ad19a9f1572c2,0.968,0.03494230456687795,classification the advantages of the matthews correlation coefficient mcc over f1 score and accuracy in binary classification evaluation to evaluate binary classifications and their confusion matrices scientific researchers can employ several statistical rates accordingly to the goal of the experiment they are investigating despite being a crucial issue in machine learning no widespread consensus has been reached on a unified elective chosen measure yet accuracy and f1 score computed on confusion matrices have been and still are among the most popular adopted metrics in binary classification tasks however these statistical measures can dangerously show overoptimistic inflated results especially on imbalanced datasets the matthews correlation coefficient mcc instead is a more reliable statistical rate which produces a high score only if the prediction obtained good results in all of the four confusion matrix categories true positives false negatives true negatives and false positives proportionally both to the size of positive elements and the size of negative elements in the dataset in this article we show how mcc produces a more informative and truthful score in evaluating binary classifications than accuracy and f1 score by first explaining the mathematical properties and then the asset of mcc in six synthetic use cases and in a real genomics scenario we believe that the matthews correlation coefficient should be preferred to accuracy and f1 score in evaluating binary classification tasks by all scientific communities d chicco giuseppe jurman
classification,PointNet: Deep Learning on Point Sets for 3D Classification and Segmentation,"Point cloud is an important type of geometric data structure. Due to its irregular format, most researchers transform such data to regular 3D voxel grids or collections of images. This, however, renders data unnecessarily voluminous and causes issues. In this paper, we design a novel type of neural network that directly consumes point clouds, which well respects the permutation invariance of points in the input. Our network, named PointNet, provides a unified architecture for applications ranging from object classification, part segmentation, to scene semantic parsing. Though simple, PointNet is highly efficient and effective. Empirically, it shows strong performance on par or even better than state of the art. Theoretically, we provide analysis towards understanding of what the network has learnt and why the network is robust with respect to input perturbation and corruption.","C. Qi, Hao Su, Kaichun Mo, L. Guibas",2016.0,15297,Computer Vision and Pattern Recognition,https://www.semanticscholar.org/paper/d997beefc0922d97202789d2ac307c55c2c52fba,0.9359999999999999,0.12430521696733302,classification pointnet deep learning on point sets for 3d classification and segmentation point cloud is an important type of geometric data structure due to its irregular format most researchers transform such data to regular 3d voxel grids or collections of images this however renders data unnecessarily voluminous and causes issues in this paper we design a novel type of neural network that directly consumes point clouds which well respects the permutation invariance of points in the input our network named pointnet provides a unified architecture for applications ranging from object classification part segmentation to scene semantic parsing though simple pointnet is highly efficient and effective empirically it shows strong performance on par or even better than state of the art theoretically we provide analysis towards understanding of what the network has learnt and why the network is robust with respect to input perturbation and corruption c qi hao su kaichun mo l guibas
classification,Pattern Classification,"The computational neural-network structures described in the literature are often based on the concept of linear neural units (LNUs). The biological neuron is a complex computing element, which performs more computations than just linear summation. The computational efficiency of the neural network depends on its structure and the training methods employed. Higher-order combinations of inputs and weights will yield higher neural performance. In this paper, a quadratic-neural unit (QNU) has been developed using a novel general matrix form of the quadratic operation. We have used the QNU for realizing different logic circuits.",Katherine L. Silversides,2021.0,16993,Encyclopedia of Mathematical Geosciences,https://www.semanticscholar.org/paper/15c0c1a8140925252d5e6cbdaa9cf109d474beac,0.9759999999999991,0.13808711197789697,classification pattern classification the computational neuralnetwork structures described in the literature are often based on the concept of linear neural units lnus the biological neuron is a complex computing element which performs more computations than just linear summation the computational efficiency of the neural network depends on its structure and the training methods employed higherorder combinations of inputs and weights will yield higher neural performance in this paper a quadraticneural unit qnu has been developed using a novel general matrix form of the quadratic operation we have used the qnu for realizing different logic circuits katherine l silversides
classification,Gender Shades: Intersectional Accuracy Disparities in Commercial Gender Classification,,"Joy Buolamwini, Timnit Gebru",2018.0,4580,FAT,https://www.semanticscholar.org/paper/18858cc936947fc96b5c06bbe3c6c2faa5614540,0.9520000000000017,0.03721761742239558,classification gender shades intersectional accuracy disparities in commercial gender classification nan joy buolamwini timnit gebru
classification,The 2016 World Health Organization Classification of Tumors of the Central Nervous System: a summary,,"D. Louis, A. Perry, G. Reifenberger, A. Deimling, D. Figarella-Branger, W. Cavenee, H. Ohgaki, O. Wiestler, P. Kleihues, D. Ellison",2016.0,13513,Acta Neuropathologica,https://www.semanticscholar.org/paper/9a6db7898bea7fe7847c1cff0faaff7dc529878e,0.9359999999999999,0.10980822363074924,classification the 2016 world health organization classification of tumors of the central nervous system a summary nan d louis a perry g reifenberger a deimling d figarellabranger w cavenee h ohgaki o wiestler p kleihues d ellison
classification,Hierarchical Attention Networks for Document Classification,"We propose a hierarchical attention network for document classification. Our model has two distinctive characteristics: (i) it has a hierarchical structure that mirrors the hierarchical structure of documents; (ii) it has two levels of attention mechanisms applied at the wordand sentence-level, enabling it to attend differentially to more and less important content when constructing the document representation. Experiments conducted on six large scale text classification tasks demonstrate that the proposed architecture outperform previous methods by a substantial margin. Visualization of the attention layers illustrates that the model selects qualitatively informative words and sentences.","Zichao Yang, Diyi Yang, Chris Dyer, Xiaodong He, Alex Smola, E. Hovy",2016.0,4550,North American Chapter of the Association for Computational Linguistics,https://www.semanticscholar.org/paper/455afd748e8834ef521e4b67c7c056d3c33429e2,0.9359999999999999,0.03697383390216155,classification hierarchical attention networks for document classification we propose a hierarchical attention network for document classification our model has two distinctive characteristics i it has a hierarchical structure that mirrors the hierarchical structure of documents ii it has two levels of attention mechanisms applied at the wordand sentencelevel enabling it to attend differentially to more and less important content when constructing the document representation experiments conducted on six large scale text classification tasks demonstrate that the proposed architecture outperform previous methods by a substantial margin visualization of the attention layers illustrates that the model selects qualitatively informative words and sentences zichao yang diyi yang chris dyer xiaodong he alex smola e hovy
classification,The 2016 revision to the World Health Organization classification of myeloid neoplasms and acute leukemia.,,"D. Arber, A. Orazi, R. Hasserjian, J. Thiele, M. Borowitz, M. L. Le Beau, C. Bloomfield, M. Cazzola, J. Vardiman",2016.0,8459,Blood,https://www.semanticscholar.org/paper/d449cd7133ce6aaa14da5e6bff2b98777340e17f,0.9359999999999999,0.06873882658865595,classification the 2016 revision to the world health organization classification of myeloid neoplasms and acute leukemia nan d arber a orazi r hasserjian j thiele m borowitz m l le beau c bloomfield m cazzola j vardiman
classification,XNOR-Net: ImageNet Classification Using Binary Convolutional Neural Networks,"We propose two efficient approximations to standard convolutional neural networks: Binary-Weight-Networks and XNOR-Networks. In Binary-Weight-Networks, the filters are approximated with binary values resulting in 32\(\times \) memory saving. In XNOR-Networks, both the filters and the input to convolutional layers are binary. XNOR-Networks approximate convolutions using primarily binary operations. This results in 58\(\times \) faster convolutional operations (in terms of number of the high precision operations) and 32\(\times \) memory savings. XNOR-Nets offer the possibility of running state-of-the-art networks on CPUs (rather than GPUs) in real-time. Our binary networks are simple, accurate, efficient, and work on challenging visual tasks. We evaluate our approach on the ImageNet classification task. The classification accuracy with a Binary-Weight-Network version of AlexNet is the same as the full-precision AlexNet. We compare our method with recent network binarization methods, BinaryConnect and BinaryNets, and outperform these methods by large margins on ImageNet, more than \(16\,\%\) in top-1 accuracy. Our code is available at: http://allenai.org/plato/xnornet.","Mohammad Rastegari, Vicente Ordonez, Joseph Redmon, Ali Farhadi",2016.0,4467,European Conference on Computer Vision,https://www.semanticscholar.org/paper/b649a98ce77ece8cd7638bb74ab77d22d9be77e7,0.9359999999999999,0.036299366162847395,classification xnornet imagenet classification using binary convolutional neural networks we propose two efficient approximations to standard convolutional neural networks binaryweightnetworks and xnornetworks in binaryweightnetworks the filters are approximated with binary values resulting in 32times memory saving in xnornetworks both the filters and the input to convolutional layers are binary xnornetworks approximate convolutions using primarily binary operations this results in 58times faster convolutional operations in terms of number of the high precision operations and 32times memory savings xnornets offer the possibility of running stateoftheart networks on cpus rather than gpus in realtime our binary networks are simple accurate efficient and work on challenging visual tasks we evaluate our approach on the imagenet classification task the classification accuracy with a binaryweightnetwork version of alexnet is the same as the fullprecision alexnet we compare our method with recent network binarization methods binaryconnect and binarynets and outperform these methods by large margins on imagenet more than 16 in top1 accuracy our code is available at httpallenaiorgplatoxnornet mohammad rastegari vicente ordonez joseph redmon ali farhadi
classification,Optimizing taxonomic classification of marker-gene amplicon sequences with QIIME 2’s q2-feature-classifier plugin,"Taxonomic classification of marker-gene sequences is an important step in microbiome analysis. We present q2-feature-classifier (https://github.com/qiime2/q2-feature-classifier), a QIIME 2 plugin containing several novel machine-learning and alignment-based methods for taxonomy classification. We evaluated and optimized several commonly used classification methods implemented in QIIME 1 (RDP, BLAST, UCLUST, and SortMeRNA) and several new methods implemented in QIIME 2 (a scikit-learn naive Bayes machine-learning classifier, and alignment-based taxonomy consensus methods based on VSEARCH, and BLAST+) for classification of bacterial 16S rRNA and fungal ITS marker-gene amplicon sequence data. The naive-Bayes, BLAST+-based, and VSEARCH-based classifiers implemented in QIIME 2 meet or exceed the species-level accuracy of other commonly used methods designed for classification of marker gene sequences that were evaluated in this work. These evaluations, based on 19 mock communities and error-free sequence simulations, including classification of simulated “novel” marker-gene sequences, are available in our extensible benchmarking framework, tax-credit (https://github.com/caporaso-lab/tax-credit-data). Our results illustrate the importance of parameter tuning for optimizing classifier performance, and we make recommendations regarding parameter choices for these classifiers under a range of standard operating conditions. q2-feature-classifier and tax-credit are both free, open-source, BSD-licensed packages available on GitHub.","Nicholas A. Bokulich, Benjamin D. Kaehler, J. Rideout, Matthew R. Dillon, Evan Bolyen, R. Knight, G. Huttley, J. Caporaso",2018.0,4144,Microbiome,https://www.semanticscholar.org/paper/3e56119cfd0feffdb022987cf6c7c5e828275bd8,0.9520000000000017,0.03367463026166098,classification optimizing taxonomic classification of markergene amplicon sequences with qiime 2s q2featureclassifier plugin taxonomic classification of markergene sequences is an important step in microbiome analysis we present q2featureclassifier httpsgithubcomqiime2q2featureclassifier a qiime 2 plugin containing several novel machinelearning and alignmentbased methods for taxonomy classification we evaluated and optimized several commonly used classification methods implemented in qiime 1 rdp blast uclust and sortmerna and several new methods implemented in qiime 2 a scikitlearn naive bayes machinelearning classifier and alignmentbased taxonomy consensus methods based on vsearch and blast for classification of bacterial 16s rrna and fungal its markergene amplicon sequence data the naivebayes blastbased and vsearchbased classifiers implemented in qiime 2 meet or exceed the specieslevel accuracy of other commonly used methods designed for classification of marker gene sequences that were evaluated in this work these evaluations based on 19 mock communities and errorfree sequence simulations including classification of simulated novel markergene sequences are available in our extensible benchmarking framework taxcredit httpsgithubcomcaporasolabtaxcreditdata our results illustrate the importance of parameter tuning for optimizing classifier performance and we make recommendations regarding parameter choices for these classifiers under a range of standard operating conditions q2featureclassifier and taxcredit are both free opensource bsdlicensed packages available on github nicholas a bokulich benjamin d kaehler j rideout matthew r dillon evan bolyen r knight g huttley j caporaso
